treatment,standardized,gender,Subfield,Rank,resp_gender,age,paradigm,contact_group,sample,ResponseId
rank_control,Kathryn A. Sikkink,f,International Relations of a particular region/country,Emeritus,f,61,Constructivism,United Kingdom 2017,International,60
rank_control,Martha Finnemore,f,International/Global Security,Other,f,NA,Non-paradigmatic,Sweden 2017,International,181
rank_control,Martha Finnemore,f,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,34,Constructivism,Australia 2017,International,146
rank_control,Walter Mignolo,m,Other,Other,f,NA,Other,Netherlands 2017,International,165
rank_control,Joseph S. Nye Jr.,m,European Studies/European Integration,Associate Professor,m,49,Realism,Australia 2017,International,372
rank_control,John J. Mearsheimer,m,Human Security,Other,NA,37,Non-paradigmatic,Denmark 2017,International,378
rank_control,John J. Mearsheimer,m,Human Security,Other,NA,37,Non-paradigmatic,Denmark 2017,International,378
rank_control,Alexander Wendt,m,International Law,Other,f,NA,Other,Netherlands 2017,International,24
rank_control,Alexander Wendt,m,International/Global Political Economy,Assistant Professor,m,43,Constructivism,United Kingdom 2017,International,246
rank_control,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,f,NA,Non-paradigmatic,Netherlands 2017,International,223
rank_control,J. Ann Tickner,f,International/Global Environmental Politics,Full Professor,m,51,Other,Australia 2017,International,28
rank_control,Cynthia Enloe,f,Gender in IR,Associate Professor,f,55,Other,Australia 2017,International,465
rank_control,Karl Marx,m,International/Global Political Economy,Full Professor,m,45,Constructivism,United Kingdom 2017,International,476
rank_control,Robert Y. Shapiro,m,${e://Field/CountryAdj} Foreign Policy,NA,f,75,Non-paradigmatic,Brazil 2017,International,126
rank_control,J. Ann Tickner,f,International Organization(s),NA,m,NA,Non-paradigmatic,Brazil 2017,International,112
rank_control,Beth A. Simmons,f,International Relations of a particular region/country,NA,NA,NA,Other,Chile 2017,International,431
rank_control,John J. Mearsheimer,m,International Relations Theory,NA,m,37,Constructivism,Colombia 2017,International,155
rank_control,John J. Mearsheimer,m,International Relations Theory,NA,m,37,Constructivism,Colombia 2017,International,155
rank_control,John G. Ruggie,m,International/Global Political Economy,NA,m,68,Non-paradigmatic,Mexico 2017,International,104
rank_control,John J. Mearsheimer,m,International/Global Security,NA,m,NA,Non-paradigmatic,Mexico 2017,International,125
rank_control,John J. Mearsheimer,m,International/Global Security,NA,m,NA,Non-paradigmatic,Mexico 2017,International,125
rank_control,Stephen D. Krasner,m,Other,NA,m,47,Constructivism,Colombia 2017,International,202
rank_control,Robert O. Keohane,m,International Relations of a particular region/country,NA,NA,68,Non-paradigmatic,Chile 2017,International,466
rank_control,Henry Kissinger,m,International/Global Political Economy,NA,m,37,Realism,Argentina 2017,International,517
rank_control,John J. Mearsheimer,m,International Relations Theory,NA,f,42,Realism,Mexico 2017,International,342
rank_control,John J. Mearsheimer,m,International Relations Theory,NA,f,42,Realism,Mexico 2017,International,342
rank_control,Juan Carlos Puig,m,NA,NA,NA,NA,NA,NA,International,379
rank_control,Michael N. Barnett,m,Other,Associate Professor,m,43,Constructivism,Canada 2017,International,375
rank_control,Martha Finnemore,f,International Organization(s),Associate Professor,f,43,Non-paradigmatic,Canada 2017,International,333
rank_control,Rob Walker,m,International Relations Theory,Associate Professor,m,54,Other,Canada 2017,International,261
rank_control,Cynthia Enloe,f,Gender in IR,Assistant Professor,f,44,Other,Canada 2017,International,296
rank_control,Amartya Sen,m,Other,Assistant Professor,m,NA,Other,Canada 2017,International,336
rank_control,Hedley Bull,m,International/Global Security,Full Professor,f,55,Other,Canada 2017,International,266
rank_control,Kenneth Waltz,m,Other,Assistant Professor,m,NA,Realism,Canada 2017,International,172
rank_control,James Fearon,m,Religion in IR,Associate Professor,m,45,Constructivism,Canada 2017,International,314
rank_control,Kathryn A. Sikkink,f,International/Global Ethics,Full Professor,m,53,Constructivism,Canada 2017,International,371
rank_control,Alexander Wendt,m,International/Global Political Economy,Full Professor,m,67,Non-paradigmatic,Canada 2017,International,552
rank_control,Peter A. Hall,m,European Studies/European Integration,Associate Professor,m,44,Non-paradigmatic,Canada 2017,International,271
rank_control,Steven Pinker,m,International/Global Security,Other,f,56,Realism,Canada 2017,International,77
rank_control,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Full Professor,m,65,Other,Canada 2017,International,229
rank_control,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Full Professor,m,65,Other,Canada 2017,International,229
rank_control,James Fearon,m,International/Global Security,Assistant Professor,m,33,Realism,Canada 2017,International,3
rank_control,Robert O. Keohane,m,International/Global Security,Full Professor,m,57,Non-paradigmatic,Canada 2017,International,322
rank_control,Kimberly Hutchings,f,History of the international relations discipline,Full Professor,m,53,Non-paradigmatic,Canada 2017,International,234
rank_control,Susan Strange,f,International/Global Political Economy,Full Professor,m,56,Other,Canada 2017,International,209
rank_control,Susan Strange,f,International/Global Political Economy,Full Professor,m,56,Other,Canada 2017,International,209
rank_control,Robert O. Keohane,m,International/Global Security,Assistant Professor,m,NA,Realism,Canada 2017,International,403
rank_control,Richard Price,m,Human Rights,Assistant Professor,f,NA,Constructivism,Canada 2017,International,509
rank_control,Ole Waever,NA,International Relations Theory,Associate Professor,m,NA,Other,Canada 2017,International,233
rank_control,Barry Buzan,m,International/Global Security,Full Professor,m,61,Non-paradigmatic,Canada 2017,International,127
rank_control,Martha Finnemore,f,International/Global Environmental Politics,Associate Professor,m,44,Constructivism,Canada 2017,International,293
rank_control,Robert W. Cox,m,NA,NA,NA,NA,NA,NA,International,344
rank_control,Michael N. Barnett,m,International/Global History,Assistant Professor,m,44,Constructivism,Canada 2017,International,367
rank_control,Peter J. Katzenstein,m,International/Global Security,Full Professor,m,70,Constructivism,Canada 2017,International,525
rank_control,Cynthia Enloe,f,International/Global Security,Assistant Professor,f,39,Non-paradigmatic,Canada 2017,International,349
rank_control,Susan Strange,f,International/Global Security,Associate Professor,f,46,Other,Canada 2017,International,173
rank_control,Susan Strange,f,International/Global Security,Associate Professor,f,46,Other,Canada 2017,International,173
rank_control,Robert O. Keohane,m,European Studies/European Integration,Full Professor,f,48,Constructivism,Canada 2017,International,210
rank_control,Robert O. Keohane,m,International Law,Other,m,48,Other,Canada 2017,International,275
rank_control,Hans Morgenthau,m,Other,Full Professor,m,63,Non-paradigmatic,Canada 2017,International,406
rank_control,James Fearon,m,Global Civil Society,Associate Professor,f,NA,Constructivism,Canada 2017,International,101
rank_control,Robert O. Keohane,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Canada 2017,International,64
rank_control,Alice Amsden,f,International/Global Political Economy,Full Professor,m,NA,Constructivism,Canada 2017,International,433
rank_control,David Held,m,I am not an IR scholar,Associate Professor,f,NA,Other,Canada 2017,International,39
rank_control,Judith Butler,f,International/Global Security,Assistant Professor,f,41,Constructivism,Canada 2017,International,414
rank_control,Peter J. Katzenstein,m,International Relations Theory,Full Professor,m,69,Constructivism,Canada 2017,International,195
rank_control,Robert O. Keohane,m,International/Global Environmental Politics,Full Professor,m,50,Other,Canada 2017,International,74
rank_control,Nira Yuval-Davis,m,Other,Emeritus,f,NA,Other,Canada 2017,International,577
rank_control,Amartya Sen,m,Human Rights,Other,m,NA,Non-paradigmatic,Canada 2017,International,180
rank_control,Kathryn A. Sikkink,f,International/Global Political Economy,Associate Professor,f,NA,Constructivism,Canada 2017,International,130
rank_control,Joseph M. Grieco,m,Comparative Foreign Policy,NA,m,44,Other,Italy 2017,International,339
rank_control,Stephen M. Walt,m,International Relations Theory,NA,f,36,Constructivism,Italy 2017,International,327
rank_control,Stephen Waltz,m,International Relations Theory,NA,f,36,Constructivism,Italy 2017,International,327
rank_control,Samuel P. Huntington,m,Other (write your answer below),NA,m,NA,Other,Poland 2017,International,107
rank_control,G. John Ikenberry,m,International/Global Security,Assistant Professor,m,43,Realism,Turkey 2017,International,486
rank_control,Erica Chenoweth,f,Other,Assistant Professor,m,NA,Other,Turkey 2017,International,254
rank_control,Kenneth Waltz,m,Other,Assistant Professor,f,NA,Constructivism,Turkey 2017,International,363
rank_control,Robert O. Keohane,m,International/Global Political Economy,Assistant Professor,m,NA,Constructivism,Turkey 2017,International,84
rank_control,Robert W. Cox,m,International/Global Political Economy,Assistant Professor,m,43,Other,Turkey 2017,International,6
rank_control,Friedrich Kratochwil,m,International Organization(s),Assistant Professor,NA,39,Constructivism,Turkey 2017,International,324
rank_control,Joseph S. Nye Jr.,m,Comparative Foreign Policy,Full Professor,NA,45,Liberalism,Turkey 2017,International,191
rank_control,Andrew Linklater,m,International Relations of a particular region/country,Full Professor,f,44,Constructivism,Turkey 2017,International,105
rank_control,Barry Buzan,m,Other,Assistant Professor,f,37,Constructivism,Turkey 2017,International,225
rank_control,Kathryn A. Sikkink,f,NA,Associate Professor,f,42,Constructivism,Turkey 2017,International,551
rank_control,Robert O. Keohane,m,International/Global Political Economy,Full Professor,NA,60,Liberalism,Turkey 2017,International,418
rank_control,Valerie M. Hudson,f,Other,Associate Professor,f,42,Non-paradigmatic,Turkey 2017,International,549
rank_control,Ken Booth,m,International/Global Security,Assistant Professor,f,NA,Other,Turkey 2017,International,411
rank_control,Fred Halliday,m,Human Rights,Assistant Professor,f,NA,Constructivism,Turkey 2017,International,374
rank_control,John J. Mearsheimer,m,NA,Associate Professor,f,NA,Realism,Turkey 2017,International,208
rank_control,Bruce Bueno de Mesquita,m,I am not an IR scholar,Associate Professor,m,NA,Other,Turkey 2017,International,361
rank_control,Nassim Nicholas Taleb,m,International/Global Ethics,NA,f,NA,Liberalism,Ukraine 2017,International,262
rank_control,Francis Fukuyama,m,International/Global History,NA,m,NA,Realism,Ukraine 2017,International,207
rank_control,Joseph S. Nye Jr.,m,International/Global Security,NA,m,NA,Realism,Ukraine 2017,International,524
rank_control,Zbigniew Brzezinski,m,NA,NA,NA,NA,NA,NA,International,1
rank_control,Alexander Wendt,m,International Relations Theory,Other,m,NA,Other,Switzerland 2017,International,148
rank_control,Pierre Bourdieu,m,Gender in IR,Other,f,58,Other,Switzerland 2017,International,184
rank_control,Patrick T. Jackson,m,International Relations Theory,Other,m,NA,Other,Germany 2017,International,299
rank_control,Robert W. Cox,m,International/Global Political Economy,Other,m,NA,Other,Germany 2017,International,526
rank_control,Michael D. Ward,m,Other,Other,f,NA,Non-paradigmatic,Germany 2017,International,398
rank_control,Robert O. Keohane,m,Human Rights,Other,f,NA,Other,Germany 2017,International,319
rank_control,Ole Waever,NA,Religion in IR,Other,f,34,Constructivism,Germany 2017,International,18
rank_control,Robert O. Keohane,m,International/Global Ethics,NA,NA,NA,Non-paradigmatic,Taiwan 2017,International,31
rank_control,William Zimmerman,m,International/Global Political Economy,Full Professor,m,NA,Constructivism,Hong Kong 2017,International,162
rank_control,Alan Chong,m,${e://Field/CountryAdj} Foreign Policy,Other,m,NA,Constructivism,Philippines 2017,International,196
rank_control,Paul F. Diehl,m,Comparative Foreign Policy,Other,m,35,Constructivism,Israel 2017,International,122
rank_control,Marc Weller,m,Other,Assistant Professor,m,NA,Non-paradigmatic,Ireland 2017,International,481
rank_control,Cynthia Enloe,f,International Relations of a particular region/country,Assistant Professor,f,36,Constructivism,Ireland 2017,International,71
rank_control,Thomas Risse,m,International/Global Security,NA,m,42,Liberalism,Israel 2017,International,21
rank_control,Ole Wæver,m,International Relations Theory,NA,NA,NA,Constructivism,Israel 2017,International,17
rank_control,Richard W. Mansbach,m,International Relations of a particular region/country,NA,f,50,Liberalism,Israel 2017,International,537
rank_control,Ole Wæver,m,International Relations Theory,NA,NA,NA,Non-paradigmatic,Denmark 2017,International,250
rank_control,Samuel P. Huntington,m,Human Security,Other,m,45,Non-paradigmatic,Ireland 2017,International,282
rank_control,Gabriel Kolko,m,Comparative Foreign Policy,Full Professor,m,NA,Other,Philippines 2017,International,134
rank_control,Thomas C. Schelling,m,International/Global Security,NA,f,NA,Other,Israel 2017,International,245
rank_control,Thomas Risse,m,International Relations Theory,Associate Professor,m,58,Other,Israel 2017,International,294
rank_control,Amitav Acharya,m,Religion in IR,Associate Professor,m,NA,Other,Philippines 2017,International,559
rank_control,Robert O. Keohane,m,International/Global Political Economy,NA,m,50,Liberalism,Israel 2017,International,249
rank_control,Joseph S. Nye Jr.,m,Other,Associate Professor,m,NA,Liberalism,Philippines 2017,International,289
rank_control,David A. Lake,m,International/Global Political Economy,NA,m,42,Liberalism,Israel 2017,International,352
rank_control,Bruce Martin Russett,m,International/Global Political Economy,NA,m,39,Non-paradigmatic,Israel 2017,International,518
rank_control,Scott D. Sagan,m,International/Global History,NA,NA,NA,Realism,Israel 2017,International,117
rank_control,Robert Jervis,m,International Organization(s),Other,m,NA,Liberalism,Philippines 2017,International,72
rank_control,Philip E. Tetlock,m,International/Global Security,Assistant Professor,m,NA,Non-paradigmatic,Ireland 2017,International,496
rank_control,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,NA,Liberalism,Philippines 2017,International,221
rank_control,John J. Mearsheimer,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,NA,Liberalism,Philippines 2017,International,221
rank_control,Susan Strange,f,Comparative Foreign Policy,Associate Professor,m,48,Constructivism,South Africa 2017,International,232
rank_control,Susan Strange,f,Comparative Foreign Policy,Associate Professor,m,48,Constructivism,South Africa 2017,International,232
rank_control,Robert O. Keohane,m,Comparative Foreign Policy,Emeritus,f,NA,Liberalism,Philippines 2017,International,459
rank_control,Thomas Risse,m,European Studies/European Integration,Other,m,73,Constructivism,Ireland 2017,International,42
rank_control,Amitav Acharya,m,${e://Field/CountryAdj} Foreign Policy,Assistant Professor,NA,42,Constructivism,South Africa 2017,International,168
rank_control,Ernest Gellner,m,I am not an IR scholar,NA,f,NA,Constructivism,Philippines 2017,International,564
rank_control,Kenneth Waltz,m,International/Global Security,Associate Professor,f,40,Liberalism,New Zealand 2017,International,211
rank_control,Stephen M. Walt,m,International Relations of a particular region/country,Assistant Professor,m,NA,Non-paradigmatic,Hong Kong 2017,International,325
rank_control,Robert O. Keohane,m,International/Global Security,Assistant Professor,m,NA,Liberalism,Philippines 2017,International,448
rank_control,Kathryn A. Sikkink,f,Human Rights,Other,m,NA,Constructivism,Netherlands 2017,International,382
rank_control,David Harvey,m,Development studies,Other,m,NA,Other,Netherlands 2017,International,73
rank_control,Naeem Inayatullah,m,Gender in IR,Assistant Professor,f,NA,Other,Netherlands 2017,International,499
rank_control,Alexander Wendt,m,Other,Full Professor,m,NA,Constructivism,Netherlands 2017,International,215
rank_control,John J. Mearsheimer,m,Comparative Foreign Policy,Full Professor,m,57,Liberalism,Netherlands 2017,International,443
rank_control,John J. Mearsheimer,m,Comparative Foreign Policy,Full Professor,m,57,Liberalism,Netherlands 2017,International,443
rank_control,Robert O. Keohane,m,History of the international relations discipline,Assistant Professor,f,NA,Constructivism,Netherlands 2017,International,346
rank_control,Robert W. Cox,m,Other,Other,f,NA,Other,Netherlands 2017,International,461
rank_control,Johan Galtung,m,Other,Other,NA,NA,Other,Sweden 2017,International,227
rank_control,Immanuel Wallerstein,m,U.S. Foreign Policy,Other,NA,NA,Other,Sweden 2017,International,391
rank_control,Samuel P. Huntington,m,International Relations of a particular region/country,Assistant Professor,NA,40,Realism,Norway 2017,International,468
rank_control,Tomas Ries,m,Other,Other,NA,NA,Realism,Sweden 2017,International,446
rank_control,Kenneth Waltz,m,International/Global Security,Full Professor,NA,NA,Realism,Sweden 2017,International,206
rank_control,Edward Said,m,International Relations Theory,Other,NA,NA,Non-paradigmatic,Denmark 2017,International,97
rank_control,Adam Przeworski,m,Development studies,Associate Professor,m,NA,Liberalism,Norway 2017,International,128
rank_control,Adam Przeworski,m,Development studies,Associate Professor,m,NA,Liberalism,Norway 2017,International,128
rank_control,Kathryn A. Sikkink,f,International Organization(s),Assistant Professor,m,34,Liberalism,Netherlands 2017,International,404
rank_control,G. John Ikenberry,m,International Relations Theory,Associate Professor,NA,NA,Other,Denmark 2017,International,561
rank_control,Richard Ned Lebow,m,International/Global Political Economy,Full Professor,NA,NA,Realism,Norway 2017,International,469
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,f,NA,Non-paradigmatic,United Kingdom 2017,International,548
rank_control,Stephen M. Walt,m,Other,Full Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,178
rank_control,Stephen Waltz,m,Other,Full Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,178
rank_control,Martha Finnemore,f,European Studies/European Integration,Full Professor,f,52,Constructivism,United Kingdom 2017,International,189
rank_control,Alexander Wendt,m,European Studies/European Integration,Other,NA,NA,Liberalism,Netherlands 2017,International,492
rank_control,Lene Hansen,f,International Relations Theory,Associate Professor,m,42,Other,United Kingdom 2017,International,283
rank_control,Ted Hopf,m,International/Global History,Assistant Professor,NA,NA,Other,United Kingdom 2017,International,558
rank_control,Helen V. Milner,f,International/Global Political Economy,Associate Professor,f,40,Non-paradigmatic,United Kingdom 2017,International,402
rank_control,Peter J. Katzenstein,m,International/Global Security,Associate Professor,m,40,Liberalism,United Kingdom 2017,International,316
rank_control,Michel Foucault,m,International/Global Environmental Politics,Full Professor,f,50,Other,United Kingdom 2017,International,277
rank_control,John J. Mearsheimer,m,Other,Associate Professor,m,61,Other,United Kingdom 2017,International,62
rank_control,John J. Mearsheimer,m,Other,Associate Professor,m,61,Other,United Kingdom 2017,International,62
rank_control,Kenneth Waltz,m,International Relations of a particular region/country,Assistant Professor,m,33,Non-paradigmatic,United Kingdom 2017,International,23
rank_control,Erica Chenoweth,f,International/Global History,Assistant Professor,NA,NA,Realism,United Kingdom 2017,International,110
rank_control,Stephen R. Gill,m,International/Global Political Economy,Assistant Professor,m,51,Other,United Kingdom 2017,International,362
rank_control,Helen V. Milner,f,International/Global Political Economy,Assistant Professor,m,34,Non-paradigmatic,United Kingdom 2017,International,197
rank_control,Andrew Hurrell,m,International Relations Theory,Assistant Professor,f,NA,Constructivism,United Kingdom 2017,International,268
rank_control,Susan Strange,f,International/Global Political Economy,Full Professor,NA,NA,Non-paradigmatic,Netherlands 2017,International,151
rank_control,Susan Strange,f,International/Global Political Economy,Full Professor,NA,NA,Non-paradigmatic,Netherlands 2017,International,151
rank_control,Samir Amin,m,International Relations of a particular region/country,Full Professor,m,48,Other,United Kingdom 2017,International,472
rank_control,Juliet Kaarbo,f,Comparative Foreign Policy,Associate Professor,f,45,Other,Sweden 2017,International,298
rank_control,Martha Finnemore,f,International/Global Political Economy,Other,NA,NA,Constructivism,Denmark 2017,International,38
rank_control,Kenneth Waltz,m,International/Global Security,Assistant Professor,m,37,Non-paradigmatic,United Kingdom 2017,International,86
rank_control,Vincent Pouliot,m,Other,Assistant Professor,NA,NA,Other,United Kingdom 2017,International,311
rank_control,G. John Ikenberry,m,International/Global History,Full Professor,m,64,Non-paradigmatic,United Kingdom 2017,International,124
rank_control,Dani Rodrik,m,European Studies/European Integration,Full Professor,NA,NA,Constructivism,United Kingdom 2017,International,4
rank_control,Dani Rodrik,m,European Studies/European Integration,Full Professor,NA,NA,Constructivism,United Kingdom 2017,International,4
rank_control,Amitav Acharya,m,International/Global Security,NA,NA,NA,Constructivism,Israel 2017,International,315
rank_control,Elinor Ostrom,f,International/Global Political Economy,Associate Professor,f,38,Liberalism,United Kingdom 2017,International,527
rank_control,Joseph S. Nye Jr.,m,International Relations of a particular region/country,Associate Professor,NA,61,Constructivism,Denmark 2017,International,231
rank_control,Ken Booth,m,International/Global Security,Full Professor,m,48,Constructivism,United Kingdom 2017,International,279
rank_control,Morrice James,m,International/Global Political Economy,Assistant Professor,NA,NA,Non-paradigmatic,United Kingdom 2017,International,166
rank_control,Barry Buzan,m,International/Global Environmental Politics,Full Professor,m,NA,Liberalism,Netherlands 2017,International,544
rank_control,Richard Aldrich,m,${e://Field/CountryAdj} Foreign Policy,Associate Professor,m,NA,Other,United Kingdom 2017,International,368
rank_control,Alexander Wendt,m,International/Global Security,Associate Professor,m,56,Non-paradigmatic,Israel 2017,International,405
rank_control,Kenneth Waltz,m,International Organization(s),Full Professor,m,60,Other,United Kingdom 2017,International,475
rank_control,G. John Ikenberry,m,Other,Other,NA,NA,Constructivism,Sweden 2017,International,451
rank_control,Peter J. Katzenstein,m,Other,Full Professor,NA,55,Liberalism,Norway 2017,International,556
rank_control,Robert O. Keohane,m,International Relations of a particular region/country,Other,NA,NA,Liberalism,Sweden 2017,International,159
rank_control,Richard Higgott,m,International Relations Theory,Full Professor,NA,62,Constructivism,Denmark 2017,International,96
rank_control,John J. Mearsheimer,m,International/Global Security,Associate Professor,NA,NA,Constructivism,United Kingdom 2017,International,364
rank_control,John J. Mearsheimer,m,International/Global Security,Associate Professor,NA,NA,Constructivism,United Kingdom 2017,International,364
rank_control,Michel Foucault,m,International Relations of a particular region/country,Associate Professor,m,50,Other,United Kingdom 2017,International,137
rank_control,Emanuel Adler,m,International Law,NA,m,59,Constructivism,Israel 2017,International,212
rank_control,Anthony Giddens,m,I am not an IR scholar,Other,NA,38,Constructivism,Sweden 2017,International,85
rank_control,Hedley Bull,m,Other,Other,NA,NA,Other,Denmark 2017,International,204
rank_control,Alexander Wendt,m,International Relations Theory,Full Professor,m,72,Non-paradigmatic,United Kingdom 2017,International,450
rank_control,Barry Buzan,m,Human Security,Associate Professor,NA,NA,Constructivism,Sweden 2017,International,445
rank_control,Valerie M. Hudson,f,International/Global Security,Assistant Professor,m,34,Other,United Kingdom 2017,International,237
rank_control,Rosemary Foot,f,Other,Associate Professor,m,NA,Realism,United Kingdom 2017,International,255
rank_control,Martha Finnemore,f,Comparative Foreign Policy,Assistant Professor,m,NA,Non-paradigmatic,Netherlands 2017,International,366
rank_control,Adam D. Morton,m,International Relations Theory,Associate Professor,m,42,Non-paradigmatic,United Kingdom 2017,International,55
rank_control,Barry Buzan,m,Global Civil Society,Associate Professor,m,38,Other,United Kingdom 2017,International,331
rank_control,Friedrich Kratochwil,m,International Relations Theory,Full Professor,f,39,Other,United Kingdom 2017,International,67
rank_control,Susan Strange,f,Development studies,Associate Professor,NA,65,Non-paradigmatic,Denmark 2017,International,463
rank_control,Susan Strange,f,Development studies,Associate Professor,NA,65,Non-paradigmatic,Denmark 2017,International,463
rank_control,Robert O. Keohane,m,International Relations of a particular region/country,Assistant Professor,f,NA,Liberalism,Philippines 2017,International,27
rank_control,Robert Powell,m,Other,Assistant Professor,f,37,Non-paradigmatic,United Kingdom 2017,International,453
rank_control,Frank Schimmelfennig,m,International Relations Theory,Assistant Professor,m,47,Constructivism,United Kingdom 2017,International,571
rank_control,Immanuel Wallerstein,m,International Relations of a particular region/country,Associate Professor,NA,71,Realism,Denmark 2017,International,32
rank_control,John J. Mearsheimer,m,Other,Emeritus,m,68,Liberalism,Denmark 2017,International,15
rank_control,John J. Mearsheimer,m,Other,Emeritus,m,68,Liberalism,Denmark 2017,International,15
rank_control,Alexander Wendt,m,International Relations of a particular region/country,Full Professor,m,62,Non-paradigmatic,Singapore 2017,International,83
rank_control,Antonio Gramsci,m,International/Global Political Economy,Assistant Professor,f,37,Other,United Kingdom 2017,International,194
rank_control,Michael Walzer,m,Other,Emeritus,m,68,Other,United Kingdom 2017,International,145
rank_control,Michael Walzer,m,Other,Emeritus,m,68,Other,United Kingdom 2017,International,145
rank_control,Michael W. Doyle,m,International/Global Ethics,Associate Professor,f,39,Liberalism,United Kingdom 2017,International,334
rank_control,John J. Mearsheimer,m,International/Global Health,Assistant Professor,m,39,Constructivism,United Kingdom 2017,International,244
rank_control,John J. Mearsheimer,m,International/Global Health,Assistant Professor,m,39,Constructivism,United Kingdom 2017,International,244
rank_control,Alexander Wendt,m,International Relations of a particular region/country,Associate Professor,m,55,Constructivism,United Kingdom 2017,International,205
rank_control,Alexander Wendt,m,U.S. Foreign Policy,Assistant Professor,m,46,Other,United Kingdom 2017,International,533
rank_control,Emanuel Adler,m,International Relations Theory,Full Professor,m,56,Constructivism,Australia 2017,International,286
rank_control,Hugh White,m,U.S. Foreign Policy,Associate Professor,m,47,Realism,Australia 2017,International,427
rank_control,John J. Mearsheimer,m,International/Global Political Economy,Associate Professor,m,45,Constructivism,New Zealand 2017,International,456
rank_control,John J. Mearsheimer,m,International/Global Political Economy,Associate Professor,m,45,Constructivism,New Zealand 2017,International,456
rank_control,Alexander Wendt,m,International Relations Theory,Assistant Professor,m,37,Constructivism,Australia 2017,International,328
rank_control,Kathryn A. Sikkink,f,International Organization(s),Assistant Professor,m,NA,Constructivism,Australia 2017,International,123
rank_control,John J. Mearsheimer,m,International/Global Environmental Politics,Associate Professor,m,41,Constructivism,Australia 2017,International,193
rank_control,John J. Mearsheimer,m,International/Global Environmental Politics,Associate Professor,m,41,Constructivism,Australia 2017,International,193
rank_control,Hedley Bull,m,International Relations of a particular region/country,Full Professor,m,71,Liberalism,Australia 2017,International,156
rank_control,Kenneth Waltz,m,Human Security,Assistant Professor,m,NA,Constructivism,Australia 2017,International,50
rank_control,Emanuel Adler,m,International/Global Security,Full Professor,m,47,Constructivism,United Kingdom 2017,International,575
rank_control,Andrew Moravcsik,m,International/Global Political Economy,Associate Professor,m,35,Non-paradigmatic,United Kingdom 2017,International,560
rank_control,J. Ann Tickner,f,Gender in IR,Assistant Professor,f,NA,Other,Ireland 2017,International,543
rank_control,Nikos Papastergiadis,NA,Other,Assistant Professor,m,NA,Other,Australia 2017,International,13
rank_control,Stephen M. Walt,m,International/Global Ethics,Associate Professor,m,38,Constructivism,Australia 2017,International,46
rank_control,Stephen Waltz,m,International/Global Ethics,Associate Professor,m,38,Constructivism,Australia 2017,International,46
rank_control,Robert O. Keohane,m,International Law,Associate Professor,m,33,Constructivism,United Kingdom 2017,International,82
rank_control,Peter Burke,NA,International/Global Security,Associate Professor,m,53,Realism,Australia 2017,International,69
rank_control,G. John Ikenberry,m,International/Global Political Economy,Assistant Professor,m,NA,Liberalism,Australia 2017,International,317
rank_control,David Chandler,m,International/Global Security,Associate Professor,f,NA,Non-paradigmatic,Australia 2017,International,111
rank_control,Lene Hansen,f,International Relations Theory,Other,f,NA,Other,Australia 2017,International,570
rank_control,Kathryn A. Sikkink,f,International/Global Political Economy,Associate Professor,m,37,Constructivism,Australia 2017,International,287
rank_control,Noam Chomsky,m,I am not an IR scholar,Full Professor,m,62,Other,Australia 2017,International,65
rank_control,Joseph S. Nye Jr.,m,International Organization(s),Other,f,NA,Non-paradigmatic,Australia 2017,International,383
rank_control,J. Ann Tickner,f,International/Global History,Assistant Professor,m,NA,Constructivism,Australia 2017,International,569
rank_control,Joseph E. Stiglitz,m,International/Global Environmental Politics,Associate Professor,m,62,Constructivism,Australia 2017,International,89
rank_control,Peter M. Haas,m,International Organization(s),Full Professor,m,53,Constructivism,Australia 2017,International,44
rank_control,Ole Wæver,m,International Relations Theory,Associate Professor,f,41,Other,Australia 2017,International,147
rank_control,Amitav Acharya,m,International/Global Security,Associate Professor,f,40,Other,New Zealand 2017,International,529
rank_control,Martha Finnemore,f,International/Global Environmental Politics,Other,NA,NA,Constructivism,Sweden 2017,International,370
rank_control,Alexander Wendt,m,Other,Full Professor,m,50,Constructivism,New Zealand 2017,International,338
rank_control,Christoph O. Meyer,m,International/Global Security,Other,f,NA,Constructivism,Netherlands 2017,International,177
rank_control,Martha Finnemore,f,International Organization(s),Associate Professor,f,40,Constructivism,Australia 2017,International,483
rank_control,Robert O. Keohane,m,International Relations of a particular region/country,Other,NA,NA,Realism,Denmark 2017,International,295
rank_control,Elizabeth Dauphinee,f,Other,Associate Professor,f,39,Other,New Zealand 2017,International,218
rank_control,Ted R. Gurr,m,Other,Full Professor,m,43,Non-paradigmatic,Sweden 2017,International,321
rank_control,Dani Rodrik,m,International/Global Political Economy,Associate Professor,NA,49,Constructivism,Denmark 2017,International,66
rank_control,Dani Rodrik,m,International/Global Political Economy,Associate Professor,NA,49,Constructivism,Denmark 2017,International,66
