treatment,standardized,gender,Country,Subfield,Rank,Ethnicity,resp_gender,age,paradigm,sample,ResponseId
rank_control,Immanuel Wallerstein,m,US,Human Rights,Associate Professor,0,f,63,Other,US,583
rank_control,David A. Lake,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,639
rank_control,Daniel H. Nexon,m,US,International/Global Security,Full Professor,1,f,NA,Constructivism,US,228
rank_control,Robert O. Keohane,m,US,International Organization(s),Assistant Professor,1,f,NA,Constructivism,US,87
rank_control,Helen V. Milner,f,US,International/Global Political Economy,Full Professor,1,m,44,Liberalism,US,283
rank_control,Kenneth Waltz,m,US,International Relations of a particular region/country,Assistant Professor,1,f,NA,Realism,US,651
rank_control,Robert O. Keohane,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,68
rank_control,Joseph S. Nye Jr.,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Liberalism,US,568
rank_control,Beth A. Simmons,f,US,International/Global Security,Full Professor,1,m,NA,Constructivism,US,314
rank_control,Robert O. Keohane,m,US,International Law,Full Professor,1,m,NA,Non-paradigmatic,US,406
rank_control,Henry Kissinger,m,NA,International/Global Political Economy,Other,0,m,NA,Realism,US,344
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Non-paradigmatic,US,135
rank_control,Bruce Martin Russett,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Other,US,678
rank_control,Joseph S. Nye Jr.,m,US,International Law,Full Professor,1,m,NA,Non-paradigmatic,US,594
rank_control,Michael N. Barnett,m,US,International Organization(s),Full Professor,1,m,71,Constructivism,US,149
rank_control,John J. Mearsheimer,m,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,523
rank_control,John J. Mearsheimer,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Realism,US,588
rank_control,Barry Buzan,m,non-US,U.S. Foreign Policy,Assistant Professor,1,m,NA,Constructivism,US,114
rank_control,Miles Kahler,m,US,International/Global Environmental Politics,Assistant Professor,1,m,NA,Non-paradigmatic,US,217
rank_control,Helen V. Milner,f,US,International/Global Political Economy,Full Professor,1,f,45,Non-paradigmatic,US,683
rank_control,Hans Morgenthau,m,NA,International Relations Theory,Emeritus,1,m,NA,Constructivism,US,362
rank_control,Robert O. Keohane,m,US,Comparative Foreign Policy,Full Professor,1,m,NA,Liberalism,US,304
rank_control,Martha Finnemore,f,US,Global Civil Society,Associate Professor,1,f,38,Non-paradigmatic,US,621
rank_control,Michael D. Ward,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,664
rank_control,Francis Fukuyama,m,US,International/Global Political Economy,Assistant Professor,1,f,NA,Liberalism,US,643
rank_control,James Fearon,m,US,Comparative Foreign Policy,Assistant Professor,1,f,NA,Liberalism,US,466
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,55,Realism,US,184
rank_control,Alexander Wendt,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,295
rank_control,Dennis M. Foster,m,US,International/Global Security,Assistant Professor,1,m,NA,Liberalism,US,378
rank_control,Robert Jervis,m,US,International/Global Security,Associate Professor,1,f,43,Constructivism,US,48
rank_control,Martha Finnemore,f,US,International/Global Political Economy,Associate Professor,1,m,NA,Liberalism,US,716
rank_control,Christopher Clapham,m,non-US,Other,Full Professor,1,m,NA,Constructivism,US,305
rank_control,Alexander Wendt,m,US,International/Global Security,Assistant Professor,1,m,NA,Constructivism,US,214
rank_control,Ernst Haas,m,US,International Relations Theory,Associate Professor,1,m,55,Constructivism,US,690
rank_control,Bruce Martin Russett,m,US,International/Global Security,Associate Professor,0,m,NA,Liberalism,US,379
rank_control,Hans Morgenthau,m,NA,U.S. Foreign Policy,Other,1,m,NA,Realism,US,260
rank_control,Alexander Wendt,m,US,International/Global Environmental Politics,Other,1,f,NA,Constructivism,US,557
rank_control,Robert Jervis,m,US,International/Global Security,Assistant Professor,0,m,38,Non-paradigmatic,US,402
rank_control,Kenneth Waltz,m,US,International/Global Security,Associate Professor,1,m,NA,Other,US,267
rank_control,Kathryn A. Sikkink,f,US,Development Studies,Assistant Professor,1,f,NA,Constructivism,US,84
rank_control,Stephen M. Walt,m,US,International/Global Security,Full Professor,1,m,47,Liberalism,US,2
rank_control,Robert Jervis,m,US,International/Global Political Economy,Associate Professor,1,m,NA,Liberalism,US,622
rank_control,Robert O. Keohane,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,691
rank_control,Edward D. Mansfield,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,382
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,NA,Constructivism,US,420
rank_control,Stephen M. Walt,m,US,International/Global Security,Associate Professor,1,m,NA,Constructivism,US,532
rank_control,Erik Gartzke,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,744
rank_control,Robert O. Keohane,m,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,172
rank_control,John J. Mearsheimer,m,US,U.S. Foreign Policy,Other,1,m,NA,Non-paradigmatic,US,615
rank_control,Hedley Bull,m,NA,International Relations Theory,Other,1,m,NA,Constructivism,US,215
rank_control,Martha Finnemore,f,US,NA,NA,NA,NA,NA,NA,US,540
rank_control,G. John Ikenberry,m,US,International/Global Security,Associate Professor,1,m,43,Liberalism,US,275
rank_control,Jonathan Kirshner,m,US,International/Global Political Economy,Assistant Professor,1,m,NA,Realism,US,247
rank_control,Anne-Marie Slaughter,f,US,International Law,Full Professor,1,m,NA,Constructivism,US,703
rank_control,B. Peter Rosendorff,m,US,International Organization(s),Full Professor,1,m,45,Non-paradigmatic,US,206
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,1,f,46,Constructivism,US,722
rank_control,Martha Finnemore,f,US,International/Global Environmental Politics,Associate Professor,1,m,NA,Non-paradigmatic,US,43
rank_control,Martha Finnemore,f,US,International/Global Security,Full Professor,1,m,NA,Constructivism,US,578
rank_control,Robert Jervis,m,US,International Relations of a particular region/country,Assistant Professor,1,f,NA,Realism,US,240
rank_control,Samuel P. Huntington,m,US,International/Global Security,Full Professor,1,m,NA,Other,US,153
rank_control,Robert O. Keohane,m,US,Other,Other,1,m,NA,Constructivism,US,147
rank_control,J. Ann Tickner,f,US,International/Global Health,Associate Professor,0,m,49,Realism,US,301
rank_control,John J. Mearsheimer,m,US,International Relations Theory,Associate Professor,1,m,40,Realism,US,404
rank_control,Alexander Wendt,m,US,Comparative Foreign Policy,Associate Professor,1,m,46,Non-paradigmatic,US,78
rank_control,Samuel P. Huntington,m,US,Other,Full Professor,0,m,NA,Non-paradigmatic,US,16
rank_control,John J. Mearsheimer,m,US,Human Rights,Full Professor,1,m,NA,Liberalism,US,397
rank_control,Alexander Wendt,m,US,International Law,Emeritus,1,m,NA,Constructivism,US,681
rank_control,Francis Fukuyama,m,US,Other,Full Professor,1,f,NA,Other,US,413
rank_control,John J. Mearsheimer,m,US,International/Global Security,Assistant Professor,1,m,NA,Liberalism,US,686
rank_control,Martha Finnemore,f,US,Human Security,Other,1,m,NA,Constructivism,US,635
rank_control,Jenny Edkins,f,NA,NA,NA,NA,NA,NA,NA,US,442
rank_control,Robert O. Keohane,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,132
rank_control,Paul F. Diehl,m,US,Other,Associate Professor,1,m,NA,Liberalism,US,476
rank_control,Stathis N. Kalyvas,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,210
rank_control,Antonio Negri,m,NA,International Relations Theory,Full Professor,1,m,NA,Other,US,310
rank_control,Alexander Wendt,m,US,International/Global Political Economy,Full Professor,1,m,NA,Non-paradigmatic,US,208
rank_control,Francis Fukuyama,m,US,International/Global Security,Associate Professor,0,m,NA,Realism,US,464
rank_control,Robert O. Keohane,m,US,International/Global Security,Associate Professor,1,f,NA,Liberalism,US,193
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,515
rank_control,Peter J. Katzenstein,m,US,European Studies/European Integration,Full Professor,1,m,NA,Liberalism,US,196
rank_control,Kenneth Waltz,m,US,International/Global Ethics,Other,0,m,NA,Other,US,490
rank_control,Alexander Wendt,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Realism,US,422
rank_control,Stanley Hoffmann,m,NA,U.S. Foreign Policy,Emeritus,1,m,NA,Realism,US,363
rank_control,Erica Chenoweth,f,US,International/Global Political Economy,Full Professor,1,f,NA,Constructivism,US,601
rank_control,Helen V. Milner,f,US,International/Global Political Economy,Associate Professor,1,m,44,Non-paradigmatic,US,527
rank_control,Cynthia Enloe,f,US,International/Global Ethics,Associate Professor,1,f,NA,Constructivism,US,187
rank_control,Kenneth Waltz,m,US,International Relations of a particular region/country,Associate Professor,1,m,NA,Liberalism,US,282
rank_control,Stephen M. Walt,m,US,International/Global Security,Full Professor,1,f,NA,Non-paradigmatic,US,227
rank_control,Kenneth Waltz,m,US,International/Global Political Economy,Associate Professor,0,m,51,Non-paradigmatic,US,388
rank_control,Thomas C. Schelling,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Constructivism,US,657
rank_control,John J. Mearsheimer,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Non-paradigmatic,US,401
rank_control,Alexander Wendt,m,US,International Relations Theory,Full Professor,1,m,NA,Constructivism,US,415
rank_control,Martha Finnemore,f,US,NA,NA,NA,NA,NA,NA,US,293
rank_control,Carl von Clausewitz,m,NA,International/Global Political Economy,Other,1,m,NA,Non-paradigmatic,US,15
rank_control,J. Ann Tickner,f,US,International/Global Ethics,Other,1,m,NA,Other,US,55
rank_control,Nina Tannenwald,f,US,International/Global Security,Assistant Professor,1,f,NA,Constructivism,US,342
rank_control,Nicholas G. Onuf,m,US,Human Security,Full Professor,1,f,NA,Liberalism,US,393
rank_control,Kenneth Waltz,m,US,International Relations of a particular region/country,Full Professor,1,m,NA,Realism,US,455
rank_control,Kenneth Waltz,m,US,Religion in IR,Other,1,m,NA,Realism,US,535
rank_control,Robert O. Keohane,m,US,International Relations Theory,Full Professor,1,m,NA,Non-paradigmatic,US,698
rank_control,John J. Mearsheimer,m,US,International/Global Security,Other,1,m,NA,Realism,US,66
rank_control,John A. Vasquez,m,US,International/Global Security,Associate Professor,1,f,NA,Non-paradigmatic,US,51
rank_control,James Fearon,m,US,International Organization(s),Associate Professor,1,m,44,Liberalism,US,45
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Other,0,f,NA,Other,US,666
rank_control,Kalevi J. Holsti,m,non-US,European Studies/European Integration,Emeritus,1,m,NA,Non-paradigmatic,US,461
rank_control,Martha Finnemore,f,US,International Law,Associate Professor,1,f,NA,Liberalism,US,573
rank_control,Robert O. Keohane,m,US,International Organization(s),Emeritus,1,f,NA,Non-paradigmatic,US,766
rank_control,Richard Neustadt,m,US,U.S. Foreign Policy,Associate Professor,1,m,55,Realism,US,91
rank_control,Nicholas Spykman,m,NA,International Relations Theory,Full Professor,1,m,NA,Realism,US,103
rank_control,Elizabeth Dauphinee,f,NA,Other,Associate Professor,1,m,NA,Constructivism,US,633
rank_control,Joseph S. Nye Jr.,m,US,International/Global Security,Full Professor,1,m,62,Liberalism,US,112
rank_control,Robert O. Keohane,m,US,Development Studies,Assistant Professor,0,m,NA,Constructivism,US,352
rank_control,Bruce Bueno de Mesquita,m,US,Comparative Foreign Policy,Assistant Professor,1,m,NA,Constructivism,US,364
rank_control,John J. Mearsheimer,m,US,European Studies/European Integration,Full Professor,1,m,NA,Realism,US,729
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,f,41,Non-paradigmatic,US,318
rank_control,Barry Buzan,m,non-US,International/Global Security,Associate Professor,1,f,NA,Other,US,440
rank_control,Kenneth Waltz,m,US,Comparative Foreign Policy,Full Professor,0,m,NA,Realism,US,225
rank_control,Robert O. Keohane,m,US,Gender in IR,Associate Professor,1,f,NA,Other,US,518
rank_control,William C. Wohlforth,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,49
rank_control,Vladimir Lenin,m,NA,Other,Full Professor,1,m,NA,Other,US,99
rank_control,Alastair I. Johnston,m,US,International/Global Security,Full Professor,0,m,NA,Non-paradigmatic,US,671
rank_control,Joseph E. Stiglitz,m,US,Global Civil Society,Full Professor,1,m,NA,Liberalism,US,340
rank_control,Kenneth Waltz,m,US,Other,Other,0,m,NA,Non-paradigmatic,US,194
rank_control,Peter M. Haas,m,US,International/Global Environmental Politics,Associate Professor,1,f,NA,Liberalism,US,668
rank_control,Robert Jervis,m,US,International/Global Security,Full Professor,1,m,NA,Other,US,572
rank_control,Kathryn A. Sikkink,f,US,International Organization(s),Assistant Professor,1,f,NA,Liberalism,US,122
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,f,48,Constructivism,US,587
rank_control,John J. Mearsheimer,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,537
rank_control,J. Ann Tickner,f,US,U.S. Foreign Policy,Other,1,f,NA,Liberalism,US,263
rank_control,Alexander Wendt,m,US,European Studies/European Integration,Associate Professor,1,f,NA,Non-paradigmatic,US,105
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,f,NA,Constructivism,US,272
rank_control,John J. Mearsheimer,m,US,International/Global Ethics,Assistant Professor,1,f,NA,Realism,US,277
rank_control,Beth A. Simmons,f,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,582
rank_control,G. John Ikenberry,m,US,Development Studies,Full Professor,1,m,NA,Constructivism,US,170
rank_control,Peter D. Feaver,m,US,International/Global Security,Other,1,m,NA,Realism,US,376
rank_control,John J. Mearsheimer,m,US,U.S. Foreign Policy,Associate Professor,1,m,NA,Non-paradigmatic,US,451
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,486
rank_control,Martha Finnemore,f,US,International/Global Security,Associate Professor,1,f,NA,Realism,US,751
rank_control,Patrick T. Jackson,m,US,International Relations of a particular region/country,Assistant Professor,0,f,NA,Constructivism,US,356
rank_control,Alexander Wendt,m,US,International Relations of a particular region/country,Associate Professor,1,f,50,Constructivism,US,6
rank_control,Moises Naim,m,NA,International Law,Associate Professor,1,m,NA,Other,US,30
rank_control,David Apter,m,US,International/Global Political Economy,Other,0,f,NA,Constructivism,US,640
rank_control,J. David Singer,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,308
rank_control,Alexander Wendt,m,US,International Law,Associate Professor,1,f,NA,Constructivism,US,433
rank_control,Helen V. Milner,f,US,International/Global Security,Full Professor,1,m,NA,Non-paradigmatic,US,521
rank_control,Kathryn A. Sikkink,f,US,International Relations of a particular region/country,Associate Professor,1,f,NA,Non-paradigmatic,US,73
rank_control,John J. Mearsheimer,m,US,International Organization(s),Assistant Professor,1,m,NA,Constructivism,US,638
rank_control,Bruce Martin Russett,m,US,Other,Full Professor,1,m,NA,Liberalism,US,636
rank_control,Kenneth Waltz,m,US,Other,Full Professor,1,m,NA,Other,US,9
rank_control,William Connolly,m,US,International Relations Theory,Assistant Professor,1,f,45,Non-paradigmatic,US,608
rank_control,G. John Ikenberry,m,US,International Law,Full Professor,0,m,NA,Realism,US,445
rank_control,John J. Mearsheimer,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,273
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Full Professor,1,m,NA,Other,US,179
rank_control,Patrick T. Jackson,m,US,Gender in IR,Other,1,m,NA,Other,US,168
rank_control,Robert Jervis,m,US,Comparative Foreign Policy,Associate Professor,1,m,NA,Realism,US,188
rank_control,Joseph S. Nye Jr.,m,US,I am not an IR scholar,Associate Professor,1,m,NA,Liberalism,US,743
rank_control,Robert O. Keohane,m,US,International/Global Security,Other,0,f,NA,Non-paradigmatic,US,366
rank_control,Alexander Wendt,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,416
rank_control,Kathryn A. Sikkink,f,US,Human Rights,Associate Professor,1,m,NA,Non-paradigmatic,US,511
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Political Economy,Full Professor,1,m,NA,Non-paradigmatic,US,38
rank_control,Martha Finnemore,f,US,International/Global Security,Assistant Professor,1,f,NA,Realism,US,219
rank_control,Joseph S. Nye Jr.,m,US,Human Security,Full Professor,1,m,63,Other,US,117
rank_control,Robert Jervis,m,US,International/Global Political Economy,Other,1,m,74,Non-paradigmatic,US,739
rank_control,Martha Finnemore,f,US,Other,Assistant Professor,1,m,NA,Constructivism,US,654
rank_control,Stephen M. Walt,m,US,International/Global Security,Associate Professor,1,m,49,Constructivism,US,649
rank_control,Hedley Bull,m,NA,International/Global Security,Other,1,m,NA,Constructivism,US,419
rank_control,Bruce Bueno de Mesquita,m,US,Development Studies,Full Professor,1,m,NA,Realism,US,212
rank_control,William C. Banks,m,NA,International/Global Security,Assistant Professor,0,f,NA,Constructivism,US,563
rank_control,Alexander Wendt,m,US,U.S. Foreign Policy,Full Professor,1,m,NA,Liberalism,US,307
rank_control,Bruce Bueno de Mesquita,m,US,International Relations Theory,Associate Professor,1,m,NA,Realism,US,11
rank_control,James Fearon,m,US,International Relations of a particular region/country,Associate Professor,1,m,44,Liberalism,US,10
rank_control,Etel L. Solingen,f,US,International/Global Security,Full Professor,1,m,NA,Liberalism,US,736
rank_control,Alexander Wendt,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,46
rank_control,Henry Kissinger,m,NA,International/Global Security,Other,1,m,NA,Liberalism,US,725
rank_control,Noam Chomsky,m,US,U.S. Foreign Policy,Assistant Professor,1,m,NA,Non-paradigmatic,US,448
rank_control,Helen V. Milner,f,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,155
rank_control,Stephen M. Walt,m,US,International/Global Security,Assistant Professor,1,m,NA,Realism,US,509
rank_control,James Fearon,m,US,International/Global Political Economy,Assistant Professor,0,f,NA,Non-paradigmatic,US,702
rank_control,Robert O. Keohane,m,US,European Studies/European Integration,Full Professor,1,m,57,Other,US,512
rank_control,Robert O. Keohane,m,US,Development Studies,Associate Professor,1,m,NA,Non-paradigmatic,US,329
rank_control,Bruce Martin Russett,m,US,Comparative Foreign Policy,Full Professor,1,f,NA,Other,US,718
rank_control,G. John Ikenberry,m,US,International/Global Security,Other,1,m,NA,Liberalism,US,720
rank_control,James Fearon,m,US,International/Global Security,Associate Professor,1,m,NA,Non-paradigmatic,US,659
rank_control,Robert O. Keohane,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,218
rank_control,Robert D. Blackwill,m,NA,International/Global Security,Full Professor,1,m,NA,Realism,US,72
rank_control,Robert Jervis,m,US,International/Global Security,Full Professor,1,m,NA,Realism,US,586
rank_control,Joseph S. Nye Jr.,m,US,Other,Full Professor,1,f,NA,Realism,US,562
rank_control,Martha Crenshaw,f,US,Other,Associate Professor,1,f,NA,Other,US,529
rank_control,J. Ann Tickner,f,US,Other,Assistant Professor,1,m,NA,Non-paradigmatic,US,40
rank_control,James Fearon,m,US,Other,Full Professor,1,m,NA,Other,US,387
rank_control,junk,,NA,Other,Full Professor,1,m,NA,Other,US,136
rank_control,Stephen M. Walt,m,US,International/Global Security,Other,1,f,NA,Realism,US,728
rank_control,Carles Boix,m,US,International/Global Political Economy,Assistant Professor,0,m,NA,Realism,US,284
rank_control,Stephen Handelman,m,NA,Development Studies,Full Professor,0,f,NA,Liberalism,US,115
rank_control,James Fearon,m,US,Development Studies,Associate Professor,1,m,NA,Liberalism,US,427
rank_control,James Fearon,m,US,European Studies/European Integration,Full Professor,1,m,60,Liberalism,US,197
rank_control,David Kilcullen,m,US,NA,NA,NA,NA,NA,NA,US,504
rank_control,Cynthia Enloe,f,US,International/Global History,Associate Professor,1,m,NA,Constructivism,US,106
rank_control,Michael N. Barnett,m,US,Other,Other,1,f,NA,Non-paradigmatic,US,662
rank_control,Alexander Wendt,m,US,European Studies/European Integration,Assistant Professor,1,f,NA,Other,US,39
rank_control,Kathryn A. Sikkink,f,US,Human Rights,Other,1,f,37,Non-paradigmatic,US,605
rank_control,Robert O. Keohane,m,US,European Studies/European Integration,Assistant Professor,1,m,NA,Liberalism,US,647
rank_control,Cecelia M. Lynch,f,US,International Organization(s),Associate Professor,0,m,NA,Constructivism,US,150
rank_control,Barry Buzan,m,non-US,International/Global Security,Other,1,m,NA,Other,US,489
rank_control,Beth A. Simmons,f,US,International Law,Full Professor,1,f,NA,Constructivism,US,167
rank_control,Barbara F. Walter,f,US,International/Global Security,Associate Professor,1,m,NA,Liberalism,US,178
rank_control,Alexander Wendt,m,US,International/Global Political Economy,Full Professor,1,m,80,Non-paradigmatic,US,414
rank_control,junk,,NA,European Studies/European Integration,Full Professor,1,m,54,Realism,US,655
rank_control,Clifford J. Geertz,m,NA,Human Security,Full Professor,1,m,NA,Constructivism,US,496
rank_control,Alexander Wendt,m,US,Development Studies,Assistant Professor,0,f,NA,Other,US,299
rank_control,John J. Mearsheimer,m,US,International/Global Security,Other,1,f,NA,Non-paradigmatic,US,602
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,242
rank_control,James Fearon,m,US,Other,Full Professor,1,f,48,Liberalism,US,412
rank_control,Robert Powell,m,US,Other,Associate Professor,1,m,NA,NA,US,741
rank_control,Stuart Bremer,m,US,International/Global Security,Associate Professor,0,f,NA,Non-paradigmatic,US,516
rank_control,David A. Lake,m,US,International/Global Security,Other,1,f,NA,Realism,US,423
rank_control,Cynthia Enloe,f,US,International Relations Theory,Full Professor,1,f,NA,Realism,US,723
rank_control,Joseph S. Nye Jr.,m,US,Other,Other,1,m,NA,Realism,US,22
rank_control,Andrew L. Ross,m,US,Other,Other,1,m,NA,Realism,US,207
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Assistant Professor,1,m,NA,Liberalism,US,441
rank_control,Beth A. Simmons,f,US,I am not an IR scholar,Assistant Professor,1,f,NA,Other,US,533
rank_control,Peter J. Katzenstein,m,US,International Relations Theory,Assistant Professor,1,m,NA,Other,US,181
rank_control,Alexander Wendt,m,US,Comparative Foreign Policy,Full Professor,0,f,NA,Liberalism,US,152
rank_control,Alexander Wendt,m,US,International Relations Theory,Assistant Professor,0,f,NA,Other,US,600
rank_control,John J. Mearsheimer,m,US,I am not an IR scholar,Associate Professor,0,m,NA,Other,US,142
rank_control,David A. Lake,m,US,International Organization(s),Full Professor,1,m,NA,Liberalism,US,438
rank_control,David Held,m,non-US,U.S. Foreign Policy,Full Professor,1,m,NA,Other,US,550
rank_control,John J. Mearsheimer,m,US,U.S. Foreign Policy,Full Professor,1,f,NA,Constructivism,US,392
rank_control,Robert W. Cox,m,NA,International Organization(s),Full Professor,0,m,NA,Constructivism,US,36
rank_control,Alexander Wendt,m,US,International/Global Security,Assistant Professor,1,f,NA,Non-paradigmatic,US,706
rank_control,Erik Gartzke,m,US,International/Global Security,Assistant Professor,1,m,NA,Non-paradigmatic,US,746
rank_control,John J. Mearsheimer,m,US,International Relations Theory,Other,0,m,NA,Liberalism,US,768
rank_control,Ernst Haas,m,US,I am not an IR scholar,Full Professor,0,m,NA,Non-paradigmatic,US,185
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,1,f,NA,Non-paradigmatic,US,623
rank_control,John J. Mearsheimer,m,US,International Relations Theory,Full Professor,1,m,NA,Realism,US,34
rank_control,Fareed Rafiq Zakaria,m,US,International/Global Political Economy,Assistant Professor,0,f,NA,Liberalism,US,395
rank_control,Ole Wæver,m,non-US,I am not an IR scholar,Assistant Professor,0,f,NA,Non-paradigmatic,US,24
rank_control,Alexander George,m,US,Other,Full Professor,1,m,NA,Other,US,460
rank_control,Robert O. Keohane,m,US,I am not an IR scholar,Associate Professor,1,m,NA,Non-paradigmatic,US,667
rank_control,Robert O. Keohane,m,US,International/Global Environmental Politics,Assistant Professor,0,f,NA,Constructivism,US,256
rank_control,David A. Lake,m,US,Human Rights,Assistant Professor,1,m,NA,Non-paradigmatic,US,495
rank_control,Martha Finnemore,f,US,International Relations Theory,Assistant Professor,1,m,NA,Realism,US,604
rank_control,Graham T. Allison,m,US,International/Global Security,Other,0,m,NA,Realism,US,126
rank_control,Joseph E. Stiglitz,m,US,International Relations of a particular region/country,Assistant Professor,0,f,NA,Liberalism,US,631
rank_control,Barry Buzan,m,non-US,International/Global Security,Full Professor,1,m,NA,Constructivism,US,407
rank_control,Bear F. Braumoeller,m,US,International/Global Security,Other,0,f,NA,Non-paradigmatic,US,494
rank_control,Barry Eichengreen,m,US,International/Global Political Economy,Full Professor,1,m,NA,Liberalism,US,211
rank_control,John J. Mearsheimer,m,US,International/Global Security,Full Professor,1,m,NA,Liberalism,US,67
rank_control,Dale C. Copeland,m,US,International/Global Security,Other,1,f,NA,Constructivism,US,673
rank_control,Stephan M. Haggard,m,US,International/Global Political Economy,Full Professor,1,m,NA,Non-paradigmatic,US,531
rank_control,Karen Mingst,f,NA,International Relations Theory,Other,1,m,NA,Realism,US,144
rank_control,Gary Gereffi,m,US,International/Global Political Economy,Assistant Professor,1,f,NA,Other,US,28
rank_control,Joseph S. Nye Jr.,m,US,Global Civil Society,Other,1,m,NA,Constructivism,US,276
rank_control,Robert Wade,m,NA,International/Global Political Economy,Associate Professor,0,m,52,Liberalism,US,230
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,1,m,NA,Liberalism,US,31
rank_control,Stephen D. Krasner,m,US,NA,NA,NA,NA,NA,NA,US,375
rank_control,Alexander Wendt,m,US,Other,Full Professor,1,m,NA,Non-paradigmatic,US,338
rank_control,Joannah Arendt,f,NA,International/Global Political Economy,Assistant Professor,0,f,NA,Other,US,534
rank_control,Cynthia Enloe,f,US,Other,Full Professor,0,f,NA,Other,US,101
rank_control,Joseph S. Nye Jr.,m,US,Other,Associate Professor,0,f,NA,Non-paradigmatic,US,599
rank_control,Robert W. Cox,m,NA,International/Global Political Economy,Associate Professor,0,m,NA,Other,US,386
rank_control,Bruce Bueno de Mesquita,m,US,International/Global Security,Associate Professor,1,m,NA,Realism,US,311
rank_control,Stephen M. Walt,m,US,International/Global Environmental Politics,Full Professor,1,f,NA,Non-paradigmatic,US,762
rank_control,Wolfgang Streeck,m,non-US,Other,Full Professor,0,m,NA,Constructivism,US,505
rank_control,J. Ann Tickner,f,US,International/Global Security,Full Professor,1,f,NA,Constructivism,US,221
rank_control,James Fearon,m,US,International Relations Theory,Other,0,m,53,NA,US,695
rank_control,Robert O. Keohane,m,US,International/Global Political Economy,Associate Professor,0,f,NA,Non-paradigmatic,US,617
rank_control,Bruce Martin Russett,m,US,Other,Other,0,m,NA,Other,US,59
rank_control,Samuel P. Huntington,m,US,I am not an IR scholar,Assistant Professor,1,m,NA,Other,US,598
rank_control,Alex Mintz,m,non-US,U.S. Foreign Policy,Full Professor,0,m,NA,Liberalism,US,614
rank_control,Richard A. Falk,m,US,Human Security,Other,1,f,NA,Non-paradigmatic,US,732
rank_control,Harvey Starr,m,US,Human Security,Full Professor,0,f,NA,Other,US,182
rank_control,Benjamin Barber,m,US,International/Global Security,Associate Professor,1,m,NA,Liberalism,US,292
rank_control,Paul Seabury,m,NA,U.S. Foreign Policy,Emeritus,1,m,NA,Realism,US,303
rank_control,James Fearon,m,US,Human Rights,Associate Professor,1,f,NA,Constructivism,US,285
rank_control,Zbigniew Brzezinski,m,US,Other,Other,1,m,NA,Realism,US,343
rank_control,Vincent Pouliot,m,non-US,Religion in IR,Assistant Professor,1,m,NA,Constructivism,US,320
rank_control,Christopher Chase-Dunn,m,US,Other,Full Professor,1,f,NA,Realism,US,579
rank_control,Charles L. Glaser,m,US,Development Studies,Associate Professor,0,m,50,Realism,US,166
