genderpolicy_Response,gender,genderpolicy_2__Response,ResponseId
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1004
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,737
Approve,m,Change my behavior by causing me to cite more women,71
Disapprove,f,Change my behavior by causing me to cite more women,1274
Approve,m,Change my behavior by causing me to cite more women,1342
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1392
Approve,m,Change my behavior by causing me to cite more women,351
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1132
Disapprove,m,Change my behavior by causing me to cite more women,66
Approve,f,Change my behavior by causing me to cite more women,742
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,256
Approve,f,Change my behavior by causing me to cite more women,456
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,45
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,840
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,669
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1226
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1193
Approve,f,Change my behavior by causing me to cite more women,488
Approve,m,Change my behavior by causing me to cite more women,906
Approve,m,Change my behavior by causing me to cite more women,1104
Don't know,m,Change my behavior by causing me to cite more women,221
Approve,f,Change my behavior by causing me to cite more women,1141
Approve,m,Change my behavior by causing me to cite more women,758
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,905
Approve,m,Change my behavior by causing me to cite more women,393
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,120
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1210
Approve,m,Change my behavior by causing me to cite more women,966
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,264
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,163
Approve,f,Change my behavior by causing me to cite more women,161
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,305
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,425
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,52
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,520
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,439
Approve,m,Change my behavior by causing me to cite more women,713
Approve,m,Change my behavior by causing me to cite more women,60
Approve,m,Change my behavior by causing me to cite more women,625
Approve,f,Change my behavior by causing me to cite more women,972
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,173
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,952
Approve,f,Change my behavior by causing me to cite more women,1098
Approve,m,Change my behavior by causing me to cite more women,726
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,578
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1376
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,917
Approve,f,Change my behavior by causing me to cite more women,420
Approve,f,Change my behavior by causing me to cite more women,976
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1259
Approve,f,Change my behavior by causing me to cite more women,1123
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,106
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1096
Approve,m,Change my behavior by causing me to cite more women,1120
Approve,f,Change my behavior by causing me to cite more women,1286
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,243
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,891
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1319
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,348
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,241
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,545
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,566
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,533
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,632
Approve,m,Change my behavior by causing me to cite more women,31
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1144
Approve,m,Change my behavior by causing me to cite more women,779
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,774
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,258
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1267
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,512
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,560
Approve,m,Change my behavior by causing me to cite more women,1191
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,650
Approve,f,Change my behavior by causing me to cite more women,1094
Approve,f,Change my behavior by causing me to cite more women,785
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,49
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,535
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,288
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1127
Approve,f,Change my behavior by causing me to cite more women,850
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,464
Approve,f,Change my behavior by causing me to cite more women,337
Disapprove,m,Change my behavior by causing me to cite fewer women,1103
Approve,f,Change my behavior by causing me to cite more women,30
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,902
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,204
Approve,m,Change my behavior by causing me to cite more women,332
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,176
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1222
Approve,m,Change my behavior by causing me to cite more women,1215
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1231
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,910
Approve,f,Change my behavior by causing me to cite more women,793
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,657
Approve,m,Change my behavior by causing me to cite more women,615
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1060
Approve,m,Change my behavior by causing me to cite more women,756
Approve,m,Change my behavior by causing me to cite more women,895
Don't know,m,Change my behavior by causing me to cite more women,222
Approve,f,Change my behavior by causing me to cite more women,857
Don't know,m,Change my behavior by causing me to cite more women,514
Approve,m,Change my behavior by causing me to cite more women,656
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,816
Approve,f,Change my behavior by causing me to cite more women,827
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1294
Disapprove,m,Change my behavior by causing me to cite more women,1083
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,916
Approve,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1003
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1114
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,254
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1137
Approve,m,Change my behavior by causing me to cite more women,797
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,3
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,165
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1234
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1276
Approve,m,Change my behavior by causing me to cite more women,1218
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1138
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,34
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,847
Approve,Prefer not to answer,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1396
Approve,f,Change my behavior by causing me to cite more women,1266
Approve,m,Change my behavior by causing me to cite more women,639
Approve,f,Change my behavior by causing me to cite more women,837
Approve,m,Change my behavior by causing me to cite more women,458
Approve,m,Change my behavior by causing me to cite more women,1028
Approve,f,Change my behavior by causing me to cite more women,326
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,13
Don't know,f,Change my behavior by causing me to cite more women,1070
Approve,m,Change my behavior by causing me to cite more women,942
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,716
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,108
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,999
Approve,m,Change my behavior by causing me to cite more women,706
Approve,m,Change my behavior by causing me to cite more women,802
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,233
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,623
Disapprove,m,Change my behavior by causing me to cite more women,1166
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,443
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,826
Approve,f,Change my behavior by causing me to cite more women,542
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1325
Approve,m,Change my behavior by causing me to cite more women,836
Approve,f,Change my behavior by causing me to cite more women,231
Approve,f,Change my behavior by causing me to cite more women,11
Approve,m,Change my behavior by causing me to cite more women,1160
Disapprove,m,Change my behavior by causing me to cite more women,1119
Approve,f,Change my behavior by causing me to cite more women,461
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,570
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,57
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,647
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,894
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1157
Approve,f,Change my behavior by causing me to cite more women,614
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,562
Approve,f,Change my behavior by causing me to cite more women,526
Approve,m,Change my behavior by causing me to cite more women,1289
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1042
Approve,m,Change my behavior by causing me to cite more women,1172
Disapprove,m,Change my behavior by causing me to cite more women,612
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,760
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,211
Don't know,f,Change my behavior by causing me to cite more women,1189
Approve,f,Change my behavior by causing me to cite more women,691
Approve,f,Change my behavior by causing me to cite more women,1352
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,220
Disapprove,m,Change my behavior by causing me to cite fewer women,573
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1122
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,319
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,447
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1347
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,718
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,272
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,733
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,483
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,155
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,709
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,396
Approve,f,Change my behavior by causing me to cite more women,825
Approve,m,Change my behavior by causing me to cite more women,1252
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1184
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,147
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,603
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,138
Approve,f,Change my behavior by causing me to cite more women,914
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1128
Approve,m,Change my behavior by causing me to cite more women,1391
Approve,f,Change my behavior by causing me to cite more women,749
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,522
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1149
Approve,m,Change my behavior by causing me to cite more women,715
Approve,m,Change my behavior by causing me to cite more women,804
Approve,m,Change my behavior by causing me to cite more women,605
Don't know,m,Change my behavior by causing me to cite more women,1379
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,723
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,480
Approve,m,Change my behavior by causing me to cite more women,799
Don't know,Prefer not to answer,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,610
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1382
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,428
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,33
Approve,f,Change my behavior by causing me to cite more women,137
Approve,m,Change my behavior by causing me to cite more women,463
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,95
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,92
Approve,m,Change my behavior by causing me to cite more women,1078
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1275
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,212
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1182
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,259
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,583
Approve,m,Change my behavior by causing me to cite more women,226
Approve,m,Change my behavior by causing me to cite more women,1022
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,227
Disapprove,m,Change my behavior by causing me to cite more women,1050
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,862
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1126
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1152
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,776
Approve,f,Change my behavior by causing me to cite more women,628
Don't know,m,Change my behavior by causing me to cite more women,202
Approve,m,Change my behavior by causing me to cite more women,1117
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,367
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1223
Approve,m,Change my behavior by causing me to cite more women,178
Approve,m,Change my behavior by causing me to cite more women,1158
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,79
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1316
Don't know,f,Change my behavior by causing me to cite more women,210
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,671
Approve,m,Change my behavior by causing me to cite more women,724
Approve,m,Change my behavior by causing me to cite more women,817
Approve,m,Change my behavior by causing me to cite more women,268
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,638
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,936
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,911
Don't know,m,Change my behavior by causing me to cite more women,1366
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,448
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1393
Don't know,m,Change my behavior by causing me to cite more women,296
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,170
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,43
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1306
Approve,m,Change my behavior by causing me to cite more women,640
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,62
Don't know,f,Change my behavior by causing me to cite more women,408
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,492
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,117
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,339
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1002
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,415
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,747
Approve,m,Change my behavior by causing me to cite more women,852
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1236
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,712
Approve,m,Change my behavior by causing me to cite more women,662
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,553
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1416
Approve,f,Change my behavior by causing me to cite more women,984
Approve,m,Change my behavior by causing me to cite more women,344
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,915
Approve,f,Change my behavior by causing me to cite more women,925
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,833
Approve,m,Change my behavior by causing me to cite more women,1107
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,761
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,300
Approve,f,Change my behavior by causing me to cite more women,1111
Approve,f,Change my behavior by causing me to cite more women,1010
Don't know,m,Change my behavior by causing me to cite more women,1055
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1052
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,858
Don't know,m,Change my behavior by causing me to cite more women,1178
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1011
Approve,f,Change my behavior by causing me to cite more women,333
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,96
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1026
Approve,m,Change my behavior by causing me to cite more women,1163
Don't know,m,Change my behavior by causing me to cite more women,721
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,867
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,308
Don't know,m,Change my behavior by causing me to cite more women,1380
Approve,m,Change my behavior by causing me to cite more women,190
Approve,f,Change my behavior by causing me to cite more women,685
Disapprove,m,Change my behavior by causing me to cite more women,667
Approve,m,Change my behavior by causing me to cite more women,149
Approve,m,Change my behavior by causing me to cite more women,19
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,794
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,46
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,870
Approve,m,Change my behavior by causing me to cite more women,383
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,85
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,359
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,565
Approve,m,Change my behavior by causing me to cite more women,162
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,430
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1084
Disapprove,m,Change my behavior by causing me to cite more women,500
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,630
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1273
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,739
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,94
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,240
Approve,f,Change my behavior by causing me to cite more women,380
Approve,m,Change my behavior by causing me to cite more women,112
Approve,f,Change my behavior by causing me to cite more women,901
Approve,m,Change my behavior by causing me to cite more women,391
Approve,m,Change my behavior by causing me to cite more women,938
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,591
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,361
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,679
Approve,f,Change my behavior by causing me to cite more women,298
Approve,m,Change my behavior by causing me to cite more women,134
Approve,m,Change my behavior by causing me to cite more women,9
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1373
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1021
Approve,m,Change my behavior by causing me to cite more women,1061
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,279
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1395
Approve,m,Change my behavior by causing me to cite more women,828
Approve,m,Change my behavior by causing me to cite more women,1402
Approve,m,Change my behavior by causing me to cite more women,1369
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1089
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,782
Don't know,m,Change my behavior by causing me to cite more women,1216
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,861
Approve,f,Change my behavior by causing me to cite more women,1051
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,8
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1279
Approve,f,Change my behavior by causing me to cite more women,980
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,490
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1370
Don't know,m,Change my behavior by causing me to cite more women,188
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,670
Approve,m,Change my behavior by causing me to cite more women,206
Approve,m,Change my behavior by causing me to cite more women,977
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1203
Don't know,f,Change my behavior by causing me to cite more women,598
Disapprove,m,Change my behavior by causing me to cite more women,600
Don't know,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,534
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,386
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1307
Approve,f,Change my behavior by causing me to cite more women,1081
Disapprove,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,17
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1411
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1017
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,329
Approve,m,Change my behavior by causing me to cite more women,672
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1134
Approve,m,Change my behavior by causing me to cite more women,1351
Approve,m,Change my behavior by causing me to cite more women,939
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,624
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,621
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,122
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,124
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,336
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1039
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1260
Don't know,f,Change my behavior by causing me to cite more women,27
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1285
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,945
Approve,m,Change my behavior by causing me to cite more women,510
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,495
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,466
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1129
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,991
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,357
Approve,f,Change my behavior by causing me to cite more women,1302
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,478
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,130
Approve,m,Change my behavior by causing me to cite more women,349
Disapprove,m,Change my behavior by causing me to cite more women,1067
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1408
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1362
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1174
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,513
Approve,f,Change my behavior by causing me to cite more women,759
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1044
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,67
Approve,f,Change my behavior by causing me to cite more women,849
Approve,m,Change my behavior by causing me to cite more women,1374
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,689
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,896
Disapprove,m,Change my behavior by causing me to cite more women,556
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,648
Approve,m,Change my behavior by causing me to cite more women,263
Don't know,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,900
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,398
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,931
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,949
Approve,m,Change my behavior by causing me to cite more women,7
Don't know,m,Change my behavior by causing me to cite more women,260
Approve,m,Change my behavior by causing me to cite more women,1247
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1200
Don't know,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,1388
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,378
Approve,m,Change my behavior by causing me to cite more women,820
Approve,f,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,115
Approve,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,873
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,193
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,883
Don't know,m,Have no impact on my behavior because I already make a special effort to cite underrepresented individuals,693
Disapprove,f,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,468
Approve,f,Change my behavior by causing me to cite more women,1208
Approve,f,Change my behavior by causing me to cite more women,574
Disapprove,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1115
Approve,m,Change my behavior by causing me to cite more women,1360
Approve,m,Have no impact on my behavior even though I currently do not make a special effort to cite underrepresented individuals,1262
